,SteuerJahr,QuarSort,QuarLang,SteuerTarifSort,SteuerTarifLang,SteuerVermoegen_p50,SteuerVermoegen_p25,SteuerVermoegen_p75
1029,2009,14,City,0,Grundtarif,24.0,1.0,116.0
1032,2009,21,Wollishofen,0,Grundtarif,37.0,3.0,174.0
1035,2009,23,Leimbach,0,Grundtarif,31.0,1.0,159.0
1038,2009,24,Enge,0,Grundtarif,55.0,5.0,274.0
1041,2009,31,Alt-Wiedikon,0,Grundtarif,31.0,1.0,127.0
1044,2009,33,Friesenberg,0,Grundtarif,19.0,0.0,94.0
1047,2009,34,Sihlfeld,0,Grundtarif,18.0,0.0,97.0
1050,2009,41,Werd,0,Grundtarif,24.0,0.0,104.5
1053,2009,42,Langstrasse,0,Grundtarif,9.0,0.0,63.0
1056,2009,44,Hard,0,Grundtarif,8.0,0.0,54.0
1059,2009,51,Gewerbeschule,0,Grundtarif,16.0,0.0,83.0
1062,2009,52,Escher Wyss,0,Grundtarif,29.0,1.0,139.5
1065,2009,61,Unterstrass,0,Grundtarif,38.0,3.0,157.0
1068,2009,63,Oberstrass,0,Grundtarif,65.0,9.0,286.0
1071,2009,71,Fluntern,0,Grundtarif,89.5,11.0,506.5
1074,2009,72,Hottingen,0,Grundtarif,66.0,7.0,329.0
1077,2009,73,Hirslanden,0,Grundtarif,50.0,7.0,235.0
1080,2009,74,Witikon,0,Grundtarif,80.0,9.0,373.0
1083,2009,81,Seefeld,0,Grundtarif,60.0,6.0,246.0
1086,2009,82,Mühlebach,0,Grundtarif,53.0,6.0,217.0
1089,2009,83,Weinegg,0,Grundtarif,47.0,3.0,240.0
1092,2009,91,Albisrieden,0,Grundtarif,30.0,2.0,145.0
1095,2009,92,Altstetten,0,Grundtarif,15.0,0.0,94.0
1098,2009,101,Höngg,0,Grundtarif,52.0,6.0,241.0
1101,2009,102,Wipkingen,0,Grundtarif,29.0,2.0,123.0
1104,2009,111,Affoltern,0,Grundtarif,16.0,0.0,90.0
1107,2009,115,Oerlikon,0,Grundtarif,28.0,0.0,137.0
1110,2009,119,Seebach,0,Grundtarif,14.0,0.0,90.0
1113,2009,121,Saatlen,0,Grundtarif,10.0,0.0,65.0
1116,2009,122,Schwamendingen-Mitte,0,Grundtarif,11.0,0.0,78.0
1119,2009,123,Hirzenbach,0,Grundtarif,9.0,0.0,64.0
1122,2010,11,Rathaus,0,Grundtarif,36.0,1.0,199.0
1125,2010,12,Hochschulen,0,Grundtarif,47.0,5.0,339.0
1128,2010,13,Lindenhof,0,Grundtarif,79.0,4.0,411.0
1131,2010,14,City,0,Grundtarif,21.0,0.0,121.0
1134,2010,21,Wollishofen,0,Grundtarif,38.0,4.0,177.0
1137,2010,23,Leimbach,0,Grundtarif,31.0,1.0,152.0
1140,2010,24,Enge,0,Grundtarif,55.0,5.0,287.0
1143,2010,31,Alt-Wiedikon,0,Grundtarif,33.0,2.0,135.0
1146,2010,33,Friesenberg,0,Grundtarif,19.0,0.0,101.0
1149,2010,34,Sihlfeld,0,Grundtarif,19.0,0.0,98.0
1152,2010,41,Werd,0,Grundtarif,22.0,0.0,107.0
1155,2010,42,Langstrasse,0,Grundtarif,10.0,0.0,65.0
1158,2010,44,Hard,0,Grundtarif,8.0,0.0,53.0
1161,2010,51,Gewerbeschule,0,Grundtarif,18.0,0.0,86.0
1164,2010,52,Escher Wyss,0,Grundtarif,30.0,1.0,143.0
1167,2010,61,Unterstrass,0,Grundtarif,39.0,4.0,159.0
1170,2010,63,Oberstrass,0,Grundtarif,61.0,9.0,282.0
1173,2010,71,Fluntern,0,Grundtarif,89.0,10.0,500.0
1176,2010,72,Hottingen,0,Grundtarif,67.0,6.0,335.5
1179,2010,73,Hirslanden,0,Grundtarif,53.0,9.0,243.0
1182,2010,74,Witikon,0,Grundtarif,80.5,8.0,385.0
1185,2010,81,Seefeld,0,Grundtarif,65.0,7.0,257.0
1188,2010,82,Mühlebach,0,Grundtarif,55.0,6.0,220.0
1191,2010,83,Weinegg,0,Grundtarif,51.0,4.0,266.5
1194,2010,91,Albisrieden,0,Grundtarif,31.0,1.0,146.0
1197,2010,92,Altstetten,0,Grundtarif,14.0,0.0,94.0
1200,2010,101,Höngg,0,Grundtarif,53.0,6.0,248.0
1203,2010,102,Wipkingen,0,Grundtarif,31.0,2.0,126.0
1206,2010,111,Affoltern,0,Grundtarif,16.0,0.0,92.0
1209,2010,115,Oerlikon,0,Grundtarif,29.0,0.0,139.0
1212,2010,119,Seebach,0,Grundtarif,14.0,0.0,89.0
1215,2010,121,Saatlen,0,Grundtarif,10.0,0.0,63.0
1218,2010,122,Schwamendingen-Mitte,0,Grundtarif,11.0,0.0,77.0
1221,2010,123,Hirzenbach,0,Grundtarif,11.0,0.0,66.0
1224,2011,11,Rathaus,0,Grundtarif,46.0,1.0,232.0
1227,2011,12,Hochschulen,0,Grundtarif,63.0,9.0,373.0
1230,2011,13,Lindenhof,0,Grundtarif,72.0,5.5,421.5
1233,2011,14,City,0,Grundtarif,21.0,3.0,135.0
1236,2011,21,Wollishofen,0,Grundtarif,37.0,3.0,177.0
1239,2011,23,Leimbach,0,Grundtarif,30.0,1.0,154.0
1242,2011,24,Enge,0,Grundtarif,59.0,5.0,300.0
1245,2011,31,Alt-Wiedikon,0,Grundtarif,36.0,2.0,144.0
1248,2011,33,Friesenberg,0,Grundtarif,20.0,0.0,100.0
1251,2011,34,Sihlfeld,0,Grundtarif,20.0,0.0,104.0
1254,2011,41,Werd,0,Grundtarif,27.0,0.0,113.0
1257,2011,42,Langstrasse,0,Grundtarif,10.0,0.0,68.0
1260,2011,44,Hard,0,Grundtarif,8.0,0.0,55.0
1263,2011,51,Gewerbeschule,0,Grundtarif,17.0,0.0,88.0
1266,2011,52,Escher Wyss,0,Grundtarif,34.0,1.0,150.0
1269,2011,61,Unterstrass,0,Grundtarif,39.0,3.0,166.0
1272,2011,63,Oberstrass,0,Grundtarif,62.0,8.0,291.0
1275,2011,71,Fluntern,0,Grundtarif,94.0,11.0,533.5
1278,2011,72,Hottingen,0,Grundtarif,69.0,6.0,349.0
1281,2011,73,Hirslanden,0,Grundtarif,56.0,9.0,254.0
1284,2011,74,Witikon,0,Grundtarif,83.5,9.0,395.0
1287,2011,81,Seefeld,0,Grundtarif,64.0,7.0,264.0
1290,2011,82,Mühlebach,0,Grundtarif,58.0,5.0,246.0
1293,2011,83,Weinegg,0,Grundtarif,53.0,4.0,257.0
1296,2011,91,Albisrieden,0,Grundtarif,31.0,1.0,146.0
1299,2011,92,Altstetten,0,Grundtarif,14.0,0.0,97.0
1302,2011,101,Höngg,0,Grundtarif,53.0,5.0,249.0
1305,2011,102,Wipkingen,0,Grundtarif,34.0,2.0,137.0
1308,2011,111,Affoltern,0,Grundtarif,16.0,0.0,92.0
1311,2011,115,Oerlikon,0,Grundtarif,31.0,0.0,144.0
1314,2011,119,Seebach,0,Grundtarif,14.0,0.0,94.0
1317,2011,121,Saatlen,0,Grundtarif,9.0,0.0,60.0
1320,2011,122,Schwamendingen-Mitte,0,Grundtarif,11.0,0.0,78.0
1323,2011,123,Hirzenbach,0,Grundtarif,10.0,0.0,64.0
1326,2012,11,Rathaus,0,Grundtarif,44.0,1.0,247.0
1329,2012,12,Hochschulen,0,Grundtarif,53.0,9.0,385.0
1332,2012,13,Lindenhof,0,Grundtarif,82.0,7.0,458.0
1335,2012,14,City,0,Grundtarif,22.0,0.0,131.0
1338,2012,21,Wollishofen,0,Grundtarif,37.0,3.0,180.0
1341,2012,23,Leimbach,0,Grundtarif,28.0,0.0,161.0
1344,2012,24,Enge,0,Grundtarif,58.0,5.0,301.0
1347,2012,31,Alt-Wiedikon,0,Grundtarif,37.0,2.0,150.0
1350,2012,33,Friesenberg,0,Grundtarif,19.0,0.0,96.0
1353,2012,34,Sihlfeld,0,Grundtarif,22.0,0.0,109.0
1356,2012,41,Werd,0,Grundtarif,30.0,0.0,128.0
1359,2012,42,Langstrasse,0,Grundtarif,12.0,0.0,73.0
1362,2012,44,Hard,0,Grundtarif,9.0,0.0,59.0
1365,2012,51,Gewerbeschule,0,Grundtarif,20.0,0.0,97.0
1368,2012,52,Escher Wyss,0,Grundtarif,35.0,1.0,143.0
1371,2012,61,Unterstrass,0,Grundtarif,41.0,3.0,170.0
1374,2012,63,Oberstrass,0,Grundtarif,66.0,9.0,295.0
1377,2012,71,Fluntern,0,Grundtarif,100.0,10.0,583.0
1380,2012,72,Hottingen,0,Grundtarif,68.0,6.0,361.0
1383,2012,73,Hirslanden,0,Grundtarif,59.0,9.0,278.0
1386,2012,74,Witikon,0,Grundtarif,77.0,8.0,389.0
1389,2012,81,Seefeld,0,Grundtarif,72.0,9.0,288.0
1392,2012,82,Mühlebach,0,Grundtarif,63.0,6.0,263.0
1395,2012,83,Weinegg,0,Grundtarif,53.0,3.0,272.0
1398,2012,91,Albisrieden,0,Grundtarif,32.0,1.0,149.0
1401,2012,92,Altstetten,0,Grundtarif,15.0,0.0,100.0
1404,2012,101,Höngg,0,Grundtarif,56.0,6.0,251.0
1407,2012,102,Wipkingen,0,Grundtarif,34.0,2.0,139.0
1410,2012,111,Affoltern,0,Grundtarif,17.0,0.0,94.0
1413,2012,115,Oerlikon,0,Grundtarif,32.0,1.0,147.0
1416,2012,119,Seebach,0,Grundtarif,15.0,0.0,94.0
1419,2012,121,Saatlen,0,Grundtarif,9.0,0.0,66.0
1422,2012,122,Schwamendingen-Mitte,0,Grundtarif,10.0,0.0,77.0
1425,2012,123,Hirzenbach,0,Grundtarif,10.0,0.0,66.0
1428,2013,11,Rathaus,0,Grundtarif,45.0,2.0,267.0
1431,2013,12,Hochschulen,0,Grundtarif,43.5,6.5,354.0
1434,2013,13,Lindenhof,0,Grundtarif,84.0,6.0,448.0
1437,2013,14,City,0,Grundtarif,27.0,1.0,145.0
1440,2013,21,Wollishofen,0,Grundtarif,40.0,4.0,189.0
1443,2013,23,Leimbach,0,Grundtarif,27.0,0.0,155.5
1446,2013,24,Enge,0,Grundtarif,65.0,6.0,327.0
1449,2013,31,Alt-Wiedikon,0,Grundtarif,40.0,2.0,163.0
1452,2013,33,Friesenberg,0,Grundtarif,17.5,0.0,95.0
1455,2013,34,Sihlfeld,0,Grundtarif,24.0,0.0,111.0
1458,2013,41,Werd,0,Grundtarif,28.0,0.0,130.0
1461,2013,42,Langstrasse,0,Grundtarif,13.0,0.0,79.0
1464,2013,44,Hard,0,Grundtarif,10.0,0.0,61.0
1467,2013,51,Gewerbeschule,0,Grundtarif,21.0,0.0,102.0
1470,2013,52,Escher Wyss,0,Grundtarif,38.0,3.0,163.0
1473,2013,61,Unterstrass,0,Grundtarif,40.0,3.0,173.0
1476,2013,63,Oberstrass,0,Grundtarif,67.0,10.0,311.0
1479,2013,71,Fluntern,0,Grundtarif,107.0,10.0,625.0
1482,2013,72,Hottingen,0,Grundtarif,73.0,7.0,371.0
1485,2013,73,Hirslanden,0,Grundtarif,62.0,9.0,280.0
1488,2013,74,Witikon,0,Grundtarif,79.0,8.0,401.0
1491,2013,81,Seefeld,0,Grundtarif,75.0,9.0,302.0
1494,2013,82,Mühlebach,0,Grundtarif,58.0,6.0,264.0
1497,2013,83,Weinegg,0,Grundtarif,48.5,4.0,254.0
1500,2013,91,Albisrieden,0,Grundtarif,32.0,1.0,153.0
1503,2013,92,Altstetten,0,Grundtarif,15.0,0.0,100.0
1506,2013,101,Höngg,0,Grundtarif,55.0,5.0,261.0
1509,2013,102,Wipkingen,0,Grundtarif,34.0,2.0,141.0
1512,2013,111,Affoltern,0,Grundtarif,16.0,0.0,95.0
1515,2013,115,Oerlikon,0,Grundtarif,33.0,1.0,150.0
1518,2013,119,Seebach,0,Grundtarif,14.0,0.0,94.0
1521,2013,121,Saatlen,0,Grundtarif,10.0,0.0,65.0
1524,2013,122,Schwamendingen-Mitte,0,Grundtarif,10.0,0.0,78.0
1527,2013,123,Hirzenbach,0,Grundtarif,11.0,0.0,68.46
1530,2014,11,Rathaus,0,Grundtarif,45.0,1.0,254.0
1533,2014,12,Hochschulen,0,Grundtarif,48.0,8.0,341.0
1536,2014,13,Lindenhof,0,Grundtarif,88.0,6.0,440.5
1539,2014,14,City,0,Grundtarif,20.0,1.0,142.0
1542,2014,21,Wollishofen,0,Grundtarif,40.0,3.0,200.5
1545,2014,23,Leimbach,0,Grundtarif,27.0,1.0,148.0
1548,2014,24,Enge,0,Grundtarif,66.0,6.0,337.0
1551,2014,31,Alt-Wiedikon,0,Grundtarif,40.0,2.0,174.0
1554,2014,33,Friesenberg,0,Grundtarif,19.0,0.0,94.0
1557,2014,34,Sihlfeld,0,Grundtarif,25.0,0.0,115.0
1560,2014,41,Werd,0,Grundtarif,31.0,0.0,139.0
1563,2014,42,Langstrasse,0,Grundtarif,14.0,0.0,81.0
1566,2014,44,Hard,0,Grundtarif,10.0,0.0,62.0
1569,2014,51,Gewerbeschule,0,Grundtarif,21.0,0.0,104.5
1572,2014,52,Escher Wyss,0,Grundtarif,41.0,3.0,167.0
1575,2014,61,Unterstrass,0,Grundtarif,41.0,3.0,176.0
1578,2014,63,Oberstrass,0,Grundtarif,69.0,9.0,321.0
1581,2014,71,Fluntern,0,Grundtarif,111.0,10.0,632.0
1584,2014,72,Hottingen,0,Grundtarif,77.0,8.0,401.0
1587,2014,73,Hirslanden,0,Grundtarif,64.0,10.0,305.5
1590,2014,74,Witikon,0,Grundtarif,80.0,8.0,408.0
1593,2014,81,Seefeld,0,Grundtarif,77.0,10.0,315.0
1596,2014,82,Mühlebach,0,Grundtarif,57.0,5.0,286.0
1599,2014,83,Weinegg,0,Grundtarif,55.0,5.0,288.5
1602,2014,91,Albisrieden,0,Grundtarif,35.0,2.0,163.0
1605,2014,92,Altstetten,0,Grundtarif,16.0,0.0,100.0
1608,2014,101,Höngg,0,Grundtarif,55.0,5.0,271.5
1611,2014,102,Wipkingen,0,Grundtarif,35.0,2.0,149.0
1614,2014,111,Affoltern,0,Grundtarif,17.0,0.0,100.0
1617,2014,115,Oerlikon,0,Grundtarif,35.0,1.0,162.0
1620,2014,119,Seebach,0,Grundtarif,15.0,0.0,95.0
1623,2014,121,Saatlen,0,Grundtarif,9.0,0.0,66.0
1626,2014,122,Schwamendingen-Mitte,0,Grundtarif,12.0,0.0,83.0
1629,2014,123,Hirzenbach,0,Grundtarif,11.0,0.0,67.0
1632,2015,11,Rathaus,0,Grundtarif,48.5,2.0,262.0
1635,2015,12,Hochschulen,0,Grundtarif,64.0,9.5,407.0
1638,2015,13,Lindenhof,0,Grundtarif,98.0,7.0,435.0
1641,2015,14,City,0,Grundtarif,22.0,1.0,113.0
1644,2015,21,Wollishofen,0,Grundtarif,42.0,4.0,213.0
1647,2015,23,Leimbach,0,Grundtarif,25.0,1.0,133.0
1650,2015,24,Enge,0,Grundtarif,69.5,7.0,338.0
1653,2015,31,Alt-Wiedikon,0,Grundtarif,41.0,3.0,178.0
1656,2015,33,Friesenberg,0,Grundtarif,19.0,0.0,98.0
1659,2015,34,Sihlfeld,0,Grundtarif,25.0,0.0,117.0
1662,2015,41,Werd,0,Grundtarif,29.5,0.0,134.0
1665,2015,42,Langstrasse,0,Grundtarif,15.0,0.0,87.0
1668,2015,44,Hard,0,Grundtarif,10.0,0.0,66.0
1671,2015,51,Gewerbeschule,0,Grundtarif,22.0,0.0,108.0
1674,2015,52,Escher Wyss,0,Grundtarif,41.0,3.0,171.0
1677,2015,61,Unterstrass,0,Grundtarif,42.0,3.0,173.0
1680,2015,63,Oberstrass,0,Grundtarif,67.0,8.0,319.0
1683,2015,71,Fluntern,0,Grundtarif,116.0,12.0,647.0
1686,2015,72,Hottingen,0,Grundtarif,79.0,9.0,399.0
1689,2015,73,Hirslanden,0,Grundtarif,63.0,10.0,311.5
1692,2015,74,Witikon,0,Grundtarif,75.0,6.0,396.0
1695,2015,81,Seefeld,0,Grundtarif,76.0,8.0,306.0
1698,2015,82,Mühlebach,0,Grundtarif,60.0,6.0,283.5
1701,2015,83,Weinegg,0,Grundtarif,54.0,5.0,283.0
1704,2015,91,Albisrieden,0,Grundtarif,35.0,1.0,163.0
1707,2015,92,Altstetten,0,Grundtarif,17.0,0.0,101.0
1710,2015,101,Höngg,0,Grundtarif,55.0,6.0,265.0
1713,2015,102,Wipkingen,0,Grundtarif,36.0,3.0,155.0
1716,2015,111,Affoltern,0,Grundtarif,18.0,0.0,100.0
1719,2015,115,Oerlikon,0,Grundtarif,34.0,1.0,163.0
1722,2015,119,Seebach,0,Grundtarif,16.0,0.0,98.0
1725,2015,121,Saatlen,0,Grundtarif,12.0,0.0,72.0
1728,2015,122,Schwamendingen-Mitte,0,Grundtarif,12.0,0.0,83.0
1731,2015,123,Hirzenbach,0,Grundtarif,12.0,0.0,68.0
1734,2016,11,Rathaus,0,Grundtarif,51.0,2.0,286.0
1737,2016,12,Hochschulen,0,Grundtarif,57.0,5.5,341.0
1740,2016,13,Lindenhof,0,Grundtarif,80.0,5.0,410.0
1743,2016,14,City,0,Grundtarif,28.0,1.0,133.0
1746,2016,21,Wollishofen,0,Grundtarif,44.0,5.0,209.0
1749,2016,23,Leimbach,0,Grundtarif,28.0,0.0,147.5
1752,2016,24,Enge,0,Grundtarif,79.0,9.0,347.0
1755,2016,31,Alt-Wiedikon,0,Grundtarif,43.0,3.0,182.0
1758,2016,33,Friesenberg,0,Grundtarif,21.0,0.0,107.0
1761,2016,34,Sihlfeld,0,Grundtarif,27.0,0.0,121.0
1764,2016,41,Werd,0,Grundtarif,32.0,1.0,130.0
1767,2016,42,Langstrasse,0,Grundtarif,18.0,0.0,94.0
1770,2016,44,Hard,0,Grundtarif,12.0,0.0,70.0
1773,2016,51,Gewerbeschule,0,Grundtarif,25.0,0.0,119.0
1776,2016,52,Escher Wyss,0,Grundtarif,49.0,6.0,187.0
1779,2016,61,Unterstrass,0,Grundtarif,45.0,4.0,185.0
1782,2016,63,Oberstrass,0,Grundtarif,73.0,10.0,322.0
1785,2016,71,Fluntern,0,Grundtarif,107.0,12.0,594.0
1788,2016,72,Hottingen,0,Grundtarif,80.0,10.0,419.0
1791,2016,73,Hirslanden,0,Grundtarif,65.0,9.0,314.0
1794,2016,74,Witikon,0,Grundtarif,80.0,8.0,405.0
1797,2016,81,Seefeld,0,Grundtarif,77.0,9.0,314.0
1800,2016,82,Mühlebach,0,Grundtarif,60.0,6.0,290.0
1803,2016,83,Weinegg,0,Grundtarif,58.0,5.0,281.0
1806,2016,91,Albisrieden,0,Grundtarif,36.0,2.0,161.0
1809,2016,92,Altstetten,0,Grundtarif,19.0,0.0,110.0
1812,2016,101,Höngg,0,Grundtarif,56.0,6.0,274.0
1815,2016,102,Wipkingen,0,Grundtarif,39.0,3.0,159.0
1818,2016,111,Affoltern,0,Grundtarif,17.0,0.0,104.0
1821,2016,115,Oerlikon,0,Grundtarif,36.0,2.0,164.0
1824,2016,119,Seebach,0,Grundtarif,16.0,0.0,102.0
1827,2016,121,Saatlen,0,Grundtarif,13.0,0.0,77.0
1830,2016,122,Schwamendingen-Mitte,0,Grundtarif,12.0,0.0,85.0
1833,2016,123,Hirzenbach,0,Grundtarif,11.0,0.0,67.0
1836,2017,11,Rathaus,0,Grundtarif,45.0,2.5,277.0
1839,2017,12,Hochschulen,0,Grundtarif,62.0,10.0,349.5
1842,2017,13,Lindenhof,0,Grundtarif,80.5,5.0,429.5
1845,2017,14,City,0,Grundtarif,24.0,0.0,144.0
1848,2017,21,Wollishofen,0,Grundtarif,43.0,4.0,208.0
1851,2017,23,Leimbach,0,Grundtarif,28.0,1.0,152.5
1854,2017,24,Enge,0,Grundtarif,77.0,8.0,345.0
1857,2017,31,Alt-Wiedikon,0,Grundtarif,42.0,3.0,186.0
1860,2017,33,Friesenberg,0,Grundtarif,21.0,0.0,111.0
1863,2017,34,Sihlfeld,0,Grundtarif,30.0,1.0,129.0
1866,2017,41,Werd,0,Grundtarif,34.0,2.0,146.0
1869,2017,42,Langstrasse,0,Grundtarif,20.0,0.0,101.0
1872,2017,44,Hard,0,Grundtarif,13.0,0.0,76.0
1875,2017,51,Gewerbeschule,0,Grundtarif,25.0,0.0,125.0
1878,2017,52,Escher Wyss,0,Grundtarif,54.0,7.0,201.0
1881,2017,61,Unterstrass,0,Grundtarif,44.0,4.0,186.0
1884,2017,63,Oberstrass,0,Grundtarif,72.5,10.0,336.0
1887,2017,71,Fluntern,0,Grundtarif,105.0,12.0,589.0
1890,2017,72,Hottingen,0,Grundtarif,82.0,10.0,427.0
1893,2017,73,Hirslanden,0,Grundtarif,68.0,10.0,317.0
1896,2017,74,Witikon,0,Grundtarif,77.5,8.0,426.0
1899,2017,81,Seefeld,0,Grundtarif,79.0,10.0,335.0
1902,2017,82,Mühlebach,0,Grundtarif,67.5,7.0,308.0
1905,2017,83,Weinegg,0,Grundtarif,59.0,6.0,298.0
1908,2017,91,Albisrieden,0,Grundtarif,36.5,2.0,162.0
1911,2017,92,Altstetten,0,Grundtarif,20.0,0.0,114.0
1914,2017,101,Höngg,0,Grundtarif,56.0,6.0,274.5
1917,2017,102,Wipkingen,0,Grundtarif,39.0,3.0,166.0
1920,2017,111,Affoltern,0,Grundtarif,18.0,0.0,110.0
1923,2017,115,Oerlikon,0,Grundtarif,36.0,2.0,159.0
1926,2017,119,Seebach,0,Grundtarif,16.0,0.0,101.0
1929,2017,121,Saatlen,0,Grundtarif,12.0,0.0,74.0
1932,2017,122,Schwamendingen-Mitte,0,Grundtarif,13.0,0.0,93.0
1935,2017,123,Hirzenbach,0,Grundtarif,13.0,0.0,68.0
1938,2018,11,Rathaus,0,Grundtarif,47.0,2.0,283.0
1941,2018,12,Hochschulen,0,Grundtarif,55.0,5.0,311.0
1944,2018,13,Lindenhof,0,Grundtarif,75.0,5.0,401.0
1947,2018,14,City,0,Grundtarif,21.0,1.0,166.5
1950,2018,21,Wollishofen,0,Grundtarif,43.0,4.0,197.0
1953,2018,23,Leimbach,0,Grundtarif,25.0,0.0,153.0
1956,2018,24,Enge,0,Grundtarif,73.0,8.0,332.0
1959,2018,31,Alt-Wiedikon,0,Grundtarif,43.0,3.0,181.0
1962,2018,33,Friesenberg,0,Grundtarif,22.0,0.0,114.0
1965,2018,34,Sihlfeld,0,Grundtarif,31.0,1.0,131.0
1968,2018,41,Werd,0,Grundtarif,38.0,2.0,146.0
1971,2018,42,Langstrasse,0,Grundtarif,21.0,0.0,102.0
1974,2018,44,Hard,0,Grundtarif,14.0,0.0,77.0
1977,2018,51,Gewerbeschule,0,Grundtarif,27.0,1.0,127.0
1980,2018,52,Escher Wyss,0,Grundtarif,53.0,7.0,200.0
1983,2018,61,Unterstrass,0,Grundtarif,44.0,4.0,183.0
1986,2018,63,Oberstrass,0,Grundtarif,72.0,10.0,333.0
1989,2018,71,Fluntern,0,Grundtarif,98.0,10.0,525.0
1992,2018,72,Hottingen,0,Grundtarif,85.0,10.0,423.0
1995,2018,73,Hirslanden,0,Grundtarif,66.0,10.0,308.0
1998,2018,74,Witikon,0,Grundtarif,74.5,8.0,408.0
2001,2018,81,Seefeld,0,Grundtarif,82.5,10.0,333.0
2004,2018,82,Mühlebach,0,Grundtarif,67.0,7.0,300.0
2007,2018,83,Weinegg,0,Grundtarif,60.0,6.0,294.5
2010,2018,91,Albisrieden,0,Grundtarif,36.0,2.0,163.5
2013,2018,92,Altstetten,0,Grundtarif,21.0,0.0,112.0
2016,2018,101,Höngg,0,Grundtarif,54.0,6.0,271.0
2019,2018,102,Wipkingen,0,Grundtarif,39.0,4.0,164.0
2022,2018,111,Affoltern,0,Grundtarif,18.0,0.0,107.0
2025,2018,115,Oerlikon,0,Grundtarif,36.0,2.0,165.0
2028,2018,119,Seebach,0,Grundtarif,16.0,0.0,103.0
2031,2018,121,Saatlen,0,Grundtarif,11.0,0.0,73.0
2034,2018,122,Schwamendingen-Mitte,0,Grundtarif,13.0,0.0,88.0
2037,2018,123,Hirzenbach,0,Grundtarif,12.0,0.0,69.0
